id,fecha,provincia_origen,localidad_origen,provincia_destino,localidad_destino,cant_lineas,cant_pasajeros,cant_servicios
1,2017,BUENOS AIRES,25 DE MAYO,CORDOBA,CANALS,1,122,696
2,2017,BUENOS AIRES,25 DE MAYO,CORDOBA,LA CARLOTA,1,155,696
3,2017,BUENOS AIRES,25 DE MAYO,CORDOBA,RIO SEGUNDO,1,155,696
4,2017,BUENOS AIRES,25 DE MAYO,SANTA FE,VENADO TUERTO,1,211,696
5,2017,BUENOS AIRES,25 DE MAYO,SANTA FE,VILLA CAÑAS,1,122,696
6,2017,BUENOS AIRES,25 DE MAYO,CORDOBA,VILLA CARLOS PAZ,1,194,696
7,2017,BUENOS AIRES,25 DE MAYO,CORDOBA,VILLA MARIA,1,216,696
8,2017,LA PAMPA,25 DE MAYO,NEUQUEN,ARROYITO,1,48,456
9,2017,LA PAMPA,25 DE MAYO,RIO NEGRO,BARDA DE MEDIO,2,267,1.913
10,2017,LA PAMPA,25 DE MAYO,SANTA CRUZ,CALETA OLIVIA,2,697,2.071
11,2017,LA PAMPA,25 DE MAYO,MENDOZA,CARMENSA,2,51,609
12,2017,LA PAMPA,25 DE MAYO,RIO NEGRO,CATRIEL,8,2.587,4.506
13,2017,LA PAMPA,25 DE MAYO,LA PAMPA,CHACHARRAMENDI,3,15,1.634
14,2017,LA PAMPA,25 DE MAYO,RIO NEGRO,CHOELE CHOEL,2,523,2.071
15,2017,LA PAMPA,25 DE MAYO,RIO NEGRO,CINCO SALTOS,5,2.222,4.051
16,2017,LA PAMPA,25 DE MAYO,RIO NEGRO,CIPOLETTI,8,3.467,6.739
17,2017,LA PAMPA,25 DE MAYO,RIO NEGRO,CONTRALMIRANTE CORDERO,2,267,1.913
18,2017,LA PAMPA,25 DE MAYO,NEUQUEN,CUTRAL CO,1,15,153
19,2017,LA PAMPA,25 DE MAYO,NEUQUEN,EL CHOCON,2,15,1.094
20,2017,LA PAMPA,25 DE MAYO,LA PAMPA,GENERAL ACHA,4,421,2.413
21,2017,LA PAMPA,25 DE MAYO,MENDOZA,GENERAL ALVEAR,5,1.416,3.270
22,2017,LA PAMPA,25 DE MAYO,RIO NEGRO,GENERAL ROCA,2,755,2.071
23,2017,LA PAMPA,25 DE MAYO,NEUQUEN,JUNIN DE LOS ANDES,1,11,153
24,2017,LA PAMPA,25 DE MAYO,MENDOZA,MENDOZA,5,2.886,3.270
25,2017,LA PAMPA,25 DE MAYO,NEUQUEN,NEUQUEN,13,7.232,8.728
26,2017,LA PAMPA,25 DE MAYO,MENDOZA,PAREDITAS,1,48,456
27,2017,LA PAMPA,25 DE MAYO,NEUQUEN,PICUN LEUFU,2,65,1.094
28,2017,LA PAMPA,25 DE MAYO,NEUQUEN,PIEDRA DEL AGUILA,5,452,2.016
29,2017,LA PAMPA,25 DE MAYO,LA PAMPA,REALICO,1,-,494
30,2017,LA PAMPA,25 DE MAYO,NEUQUEN,RINCONADA,1,2,153
31,2017,LA PAMPA,25 DE MAYO,SANTA CRUZ,RIO GALLEGOS,1,254,713
32,2017,LA PAMPA,25 DE MAYO,SANTA FE,ROSARIO,2,250,428
33,2017,LA PAMPA,25 DE MAYO,SANTA FE,RUFINO,1,93,212
34,2017,LA PAMPA,25 DE MAYO,RIO NEGRO,SAN ANTONIO OESTE,2,542,2.071
35,2017,LA PAMPA,25 DE MAYO,RIO NEGRO,SAN CARLOS DE BARILOCHE,5,1.105,2.016
36,2017,LA PAMPA,25 DE MAYO,NEUQUEN,SAN MARTIN DE LOS ANDES,1,14,153
37,2017,LA PAMPA,25 DE MAYO,MENDOZA,SAN RAFAEL,4,1.745,2.814
38,2017,LA PAMPA,25 DE MAYO,SANTA FE,SANTA FE,2,226,428
39,2017,LA PAMPA,25 DE MAYO,MENDOZA,TUNUYAN,3,982,1.199
40,2017,LA PAMPA,25 DE MAYO,NEUQUEN,VILLA EL CHOCON,1,48,456
41,2017,LA PAMPA,25 DE MAYO,NEUQUEN,ZAPALA,1,15,153
42,2017,MENDOZA,25 DE MAYO,SANTA CRUZ,CALETA OLIVIA,2,258,1.431
43,2017,MENDOZA,25 DE MAYO,RIO NEGRO,CATRIEL,1,57,720
44,2017,MENDOZA,25 DE MAYO,RIO NEGRO,CHOELE CHOEL,1,138,711
45,2017,MENDOZA,25 DE MAYO,RIO NEGRO,CINCO SALTOS,1,57,720
46,2017,MENDOZA,25 DE MAYO,RIO NEGRO,CIPOLETTI,1,179,711
47,2017,MENDOZA,25 DE MAYO,SANTA CRUZ,COMANDANTE LUIS PIEDRABUENA,1,41,720
48,2017,MENDOZA,25 DE MAYO,RIO NEGRO,EL BOLSON,1,57,720
49,2017,MENDOZA,25 DE MAYO,RIO NEGRO,GENERAL ROCA,1,199,711
50,2017,MENDOZA,25 DE MAYO,NEUQUEN,NEUQUEN,2,351,1.431
51,2017,MENDOZA,25 DE MAYO,NEUQUEN,PICUN LEUFU,1,39,720
52,2017,MENDOZA,25 DE MAYO,NEUQUEN,PIEDRA DEL AGUILA,1,37,720
53,2017,MENDOZA,25 DE MAYO,SANTA CRUZ,PUERTO SAN JULIAN,1,47,720
54,2017,MENDOZA,25 DE MAYO,SANTA CRUZ,RIO GALLEGOS,2,323,1.431
55,2017,MENDOZA,25 DE MAYO,RIO NEGRO,SAN ANTONIO OESTE,1,143,711
56,2017,MENDOZA,25 DE MAYO,RIO NEGRO,SAN CARLOS DE BARILOCHE,1,90,720
57,2017,MENDOZA,25 DE MAYO,MENDOZA,TUNUYAN,1,-,720
58,2017,MENDOZA,25 DE MAYO,NEUQUEN,VILLA EL CHOCON,1,9,720
59,2017,BUENOS AIRES,9 DE JULIO,LA PAMPA,25 DE MAYO,4,669,3.079
60,2017,BUENOS AIRES,9 DE JULIO,SAN LUIS,ALTO PENCOSO,1,7,99
61,2017,BUENOS AIRES,9 DE JULIO,NEUQUEN,ARROYITO,1,53,811
62,2017,BUENOS AIRES,9 DE JULIO,LA PAMPA,ATALIVA ROCA,2,44,1.156
63,2017,BUENOS AIRES,9 DE JULIO,SAN LUIS,BALDE,1,7,99
64,2017,BUENOS AIRES,9 DE JULIO,CORRIENTES,BELLA VISTA,1,19,718
65,2017,BUENOS AIRES,9 DE JULIO,SANTA CRUZ,CALETA OLIVIA,1,59,206
66,2017,BUENOS AIRES,9 DE JULIO,LA PAMPA,CASTEX,1,212,646
