id,estacion,cantidad
72,A. De Elia,12
73,A. Petion,4808
74,A.korn,192618
75,Adrogue,291166
76,Ardigo,134124
77,Banfield,501573
78,Berazategui,205276
79,Bernal,111737
80,Bosques,103979
81,Brandsen,137
82,Brian,2
83,Burzaco,447091
84,Calzada,144693
85,Canuelas,25908
86,Chascomus,121
87,City Bell,40333
88,Claypole,221629
89,Constitucion,3958497
90,Dario Y Maxi,219828
91,Don Bosco,46084
92,El Jaguel,176919
93,Escalada,119281
94,Ezeiza,436366
95,Ezpeleta,159641
96,F. Varela,309044
97,Gerli,143373
98,Glew,558439
99,Gonnet,18350
100,Guernica,131566
101,Gutierrez,5508
102,H. Espanol,12
103,Haedo,2214
104,Hudson,57843
105,J. Marmol,52627
106,Juan XXIII,1
107,Kloosterman,103
108,Km. 33,5
109,Km. 34,11
110,L. De Zamora,1007243
111,L. Guillon,120379
112,La Noria,2
113,La Plata,229855
114,Lanus,814018
115,Levene,57
116,Llavallol,83439
117,Longchamps,394560
118,Maximo Paz,9414
119,Monte,1
120,Monte Grande,509488
121,Pereyra,1986
122,Platanos,42465
123,Policlinico,1
124,Quilmes,368441
125,Ranelagh,30231
126,Ringuelet,7757
127,San Justo,279
128,Santa Sofia,11361
129,Sarandi,44129
130,Sourigues,33070
131,Spegazzini,12350
132,Sta. Catalina,1
133,Tablada,277
134,Temperley,237125
135,Tolosa,15017
136,Tristan Suarez,21709
137,Turdera,91303
138,U. Ferroviaria,1905
139,V. Casares,58
140,V. Dominico,32465
141,Villa Elisa,34723
142,Villa Espana,35418
143,Wilde,58112
144,Yrigoyen,80989
145,Zeballos,95396
255,A. De Elia,3
256,A. Petion,5927
257,A.korn,208114
258,Adrogue,318368
259,Altamirano,1
260,Ardigo,131934
261,Banfield,570957
262,Berazategui,255501
263,Bernal,142304
264,Bosques,105934
265,Brandsen,140
266,Brian,1
267,Burzaco,514206
268,Calzada,154286
269,Canuelas,27529
270,Chascomus,237
271,City Bell,43745
272,Claypole,271229
