id,mes,linea,estacion,cantidad
72,12/2018,roca,A. De Elia,12
73,12/2018,roca,A. Petion,4808
74,12/2018,roca,A.korn,192618
75,12/2018,roca,Adrogue,291166
76,12/2018,roca,Ardigo,134124
77,12/2018,roca,Banfield,501573
78,12/2018,roca,Berazategui,205276
79,12/2018,roca,Bernal,111737
80,12/2018,roca,Bosques,103979
81,12/2018,roca,Brandsen,137
82,12/2018,roca,Brian,2
83,12/2018,roca,Burzaco,447091
84,12/2018,roca,Calzada,144693
85,12/2018,roca,Canuelas,25908
86,12/2018,roca,Chascomus,121
87,12/2018,roca,City Bell,40333
88,12/2018,roca,Claypole,221629
89,12/2018,roca,Constitucion,3958497
90,12/2018,roca,Dario Y Maxi,219828
91,12/2018,roca,Don Bosco,46084
92,12/2018,roca,El Jaguel,176919
93,12/2018,roca,Escalada,119281
94,12/2018,roca,Ezeiza,436366
95,12/2018,roca,Ezpeleta,159641
96,12/2018,roca,F. Varela,309044
97,12/2018,roca,Gerli,143373
98,12/2018,roca,Glew,558439
99,12/2018,roca,Gonnet,18350
100,12/2018,roca,Guernica,131566
101,12/2018,roca,Gutierrez,5508
102,12/2018,roca,H. Espanol,12
103,12/2018,roca,Haedo,2214
104,12/2018,roca,Hudson,57843
105,12/2018,roca,J. Marmol,52627
106,12/2018,roca,Juan XXIII,1
107,12/2018,roca,Kloosterman,103
108,12/2018,roca,Km. 33,5
109,12/2018,roca,Km. 34,11
110,12/2018,roca,L. De Zamora,1007243
111,12/2018,roca,L. Guillon,120379
112,12/2018,roca,La Noria,2
113,12/2018,roca,La Plata,229855
114,12/2018,roca,Lanus,814018
115,12/2018,roca,Levene,57
116,12/2018,roca,Llavallol,83439
117,12/2018,roca,Longchamps,394560
118,12/2018,roca,Maximo Paz,9414
119,12/2018,roca,Monte,1
120,12/2018,roca,Monte Grande,509488
121,12/2018,roca,Pereyra,1986
122,12/2018,roca,Platanos,42465
123,12/2018,roca,Policlinico,1
124,12/2018,roca,Quilmes,368441
125,12/2018,roca,Ranelagh,30231
