id,mes,linea,estacion,cantidad
1,12/2018,belgranosur,Aldo Bonzi,2967
2,12/2018,belgranosur,Buenos Aires,8
3,12/2018,belgranosur,Castello,63065
4,12/2018,belgranosur,Castillo,32909
5,12/2018,belgranosur,Eva Duarte,43321
6,12/2018,belgranosur,Fournier,34142
7,12/2018,belgranosur,G. Catan,158635
8,12/2018,belgranosur,I. Casanova,23087
9,12/2018,belgranosur,Illia,17970
10,12/2018,belgranosur,Independencia,121992
11,12/2018,belgranosur,J. Ingenieros,3372
12,12/2018,belgranosur,KM. 12,1355
13,12/2018,belgranosur,Laferrere,206912
14,12/2018,belgranosur,Libertad,27322
15,12/2018,belgranosur,M. Belgrano,36742
16,12/2018,belgranosur,Mendeville,4707
17,12/2018,belgranosur,Merlo Gomez,20940
18,12/2018,belgranosur,Querandi,21520
19,12/2018,belgranosur,Saenz,228269
20,12/2018,belgranosur,Tapiales,41840
21,12/2018,belgranosur,V. Madero,62193
22,12/2018,belgranosur,V. Soldati,30499
23,12/2018,belgranosur,V.lugano,80351
24,12/2018,belgranosur,Villegas,5275
25,12/2018,mitre,3 De Febrero,63556
26,12/2018,mitre,Acassuso,53970
27,12/2018,mitre,Beccar,59702
28,12/2018,mitre,Belgrano C.,266933
29,12/2018,mitre,Belgrano R.,166508
30,12/2018,mitre,Benavidez,522
31,12/2018,mitre,Capilla Del Señor,13
32,12/2018,mitre,Carranza,163323
33,12/2018,mitre,Carupa,86410
34,12/2018,mitre,Centrangolo,14388
35,12/2018,mitre,Chilavert,47020
36,12/2018,mitre,Coghlan,19048
37,12/2018,mitre,Colegiales,60808
38,12/2018,mitre,Drago,29070
39,12/2018,mitre,El Talar,70
40,12/2018,mitre,Escobar,2823
41,12/2018,mitre,Florida,19344
42,12/2018,mitre,Garin,995
43,12/2018,mitre,Jose Leon Suarez,225634
44,12/2018,mitre,Juan B. Justo,18843
45,12/2018,mitre,La Lucila,51743
46,12/2018,mitre,Lopez Camelo,57
47,12/2018,mitre,Malaver,25828
48,12/2018,mitre,Maq. Savio,2008
49,12/2018,mitre,Martinez,150228
50,12/2018,mitre,Matheu,907
51,12/2018,mitre,Migueletes,40112
52,12/2018,mitre,Mitre,17348
53,12/2018,mitre,Nuñez,87157
54,12/2018,mitre,Olivos,76069
55,12/2018,mitre,Pueyrredon,68937
56,12/2018,mitre,Retiro,583005
57,12/2018,mitre,Retiro,688576
58,12/2018,mitre,Rivadavia,51179
59,12/2018,mitre,Saavedra,40822
60,12/2018,mitre,San Andres,45493
61,12/2018,mitre,San Fernando,91611
62,12/2018,mitre,San Isidro,267353
63,12/2018,mitre,San Martin,219175
64,12/2018,mitre,Tigre,269686
65,12/2018,mitre,Urquiza,216173
66,12/2018,mitre,V. Ballester,139045
67,12/2018,mitre,Vicente Lopez,81834
68,12/2018,mitre,Victoria Elect,69276
69,12/2018,mitre,Virreyes,132748
70,12/2018,mitre,Zarate,581
71,12/2018,mitre,Zelaya,308
72,12/2018,roca,A. De Elia,12
73,12/2018,roca,A. Petion,4808
74,12/2018,roca,A.korn,192618
