id_viaje,mes,id_linea,id_estacion,cantidad
1,12/2018,1,7,2967
2,12/2018,1,23,8
3,12/2018,1,35,63065
4,12/2018,1,36,32909
5,12/2018,1,64,43321
6,12/2018,1,70,34142
7,12/2018,1,73,158635
8,12/2018,1,83,23087
9,12/2018,1,84,17970
10,12/2018,1,85,121992
11,12/2018,1,91,3372
12,12/2018,1,98,1355
13,12/2018,1,101,206912
14,12/2018,1,111,27322
15,12/2018,1,122,36742
16,12/2018,1,123,4707
17,12/2018,1,125,20940
18,12/2018,1,150,21520
19,12/2018,1,163,228269
20,12/2018,1,181,41840
21,12/2018,1,203,62193
22,12/2018,1,205,30499
23,12/2018,1,202,80351
24,12/2018,1,200,5275
25,12/2018,2,1,63556
26,12/2018,2,3,53970
27,12/2018,2,13,59702
28,12/2018,2,14,266933
29,12/2018,2,15,166508
30,12/2018,2,17,522
31,12/2018,2,30,13
32,12/2018,2,31,163323
33,12/2018,2,32,86410
34,12/2018,2,37,14388
35,12/2018,2,40,47020
36,12/2018,2,44,19048
37,12/2018,2,45,60808
38,12/2018,2,51,29070
39,12/2018,2,54,70
40,12/2018,2,56,2823
41,12/2018,2,69,19344
42,12/2018,2,72,995
43,12/2018,2,94,225634
44,12/2018,2,95,18843
45,12/2018,2,102,51743
46,12/2018,2,115,57
47,12/2018,2,116,25828
48,12/2018,2,118,2008
49,12/2018,2,119,150228
50,12/2018,2,120,907
51,12/2018,2,126,40112
52,12/2018,2,128,17348
53,12/2018,2,137,87157
54,12/2018,2,138,76069
55,12/2018,2,149,68937
56,12/2018,2,155,583005
57,12/2018,2,155,688576
58,12/2018,2,159,51179
59,12/2018,2,160,40822
60,12/2018,2,166,45493
61,12/2018,2,167,91611
62,12/2018,2,168,267353
63,12/2018,2,170,219175
64,12/2018,2,183,269686
65,12/2018,2,188,216173
66,12/2018,2,189,139045
67,12/2018,2,193,81834
68,12/2018,2,194,69276
69,12/2018,2,201,132748
70,12/2018,2,210,581
71,12/2018,2,212,308
72,12/2018,3,4,12
73,12/2018,3,9,4808
74,12/2018,3,6,192618
75,12/2018,3,5,291166
76,12/2018,3,10,134124
77,12/2018,3,12,501573
78,12/2018,3,18,205276
79,12/2018,3,19,111737
80,12/2018,3,20,103979
81,12/2018,3,21,137
82,12/2018,3,22,2
83,12/2018,3,24,447091
84,12/2018,3,28,144693
85,12/2018,3,29,25908
86,12/2018,3,39,121
87,12/2018,3,41,40333
88,12/2018,3,43,221629
89,12/2018,3,46,3958497
90,12/2018,3,47,219828
91,12/2018,3,50,46084
92,12/2018,3,52,176919
93,12/2018,3,55,119281
94,12/2018,3,65,436366
95,12/2018,3,66,159641
96,12/2018,3,71,309044
97,12/2018,3,74,143373
98,12/2018,3,75,558439
99,12/2018,3,76,18350
100,12/2018,3,77,131566
101,12/2018,3,78,5508
102,12/2018,3,80,12
103,12/2018,3,79,2214
104,12/2018,3,81,57843
105,12/2018,3,92,52627
106,12/2018,3,96,1
107,12/2018,3,97,103
108,12/2018,3,99,5
109,12/2018,3,100,11
110,12/2018,3,108,1007243
111,12/2018,3,110,120379
112,12/2018,3,103,2
113,12/2018,3,106,229855
114,12/2018,3,104,814018
115,12/2018,3,109,57
116,12/2018,3,113,83439
117,12/2018,3,114,394560
118,12/2018,3,121,9414
119,12/2018,3,129,1
120,12/2018,3,130,509488
121,12/2018,3,144,1986
122,12/2018,3,146,42465
123,12/2018,3,147,1
124,12/2018,3,151,368441
125,12/2018,3,154,30231
126,12/2018,3,158,7757
127,12/2018,3,169,279
128,12/2018,3,172,11361
129,12/2018,3,174,44129
130,12/2018,3,177,33070
131,12/2018,3,178,12350
132,12/2018,3,179,1
133,12/2018,3,180,277
134,12/2018,3,182,237125
135,12/2018,3,184,15017
136,12/2018,3,185,21709
137,12/2018,3,186,91303
138,12/2018,3,187,1905
139,12/2018,3,190,58
140,12/2018,3,192,32465
141,12/2018,3,197,34723
142,12/2018,3,198,35418
143,12/2018,3,206,58112
144,12/2018,3,209,80989
145,12/2018,3,211,95396
146,12/2018,4,11,6514
147,12/2018,4,25,92561
148,12/2018,4,27,4161
149,12/2018,4,33,131398
150,12/2018,4,38,42
151,12/2018,4,48,154304
152,12/2018,4,82,81329
153,12/2018,4,89,422703
154,12/2018,4,117,2311
155,12/2018,4,134,52652
156,12/2018,4,140,66
157,12/2018,4,141,90222
158,12/2018,4,143,9
159,12/2018,4,145,133868
160,12/2018,4,155,6
161,12/2018,4,175,20524
162,12/2018,4,164,105706
163,12/2018,4,171,291087
164,12/2018,4,176,79515
165,12/2018,4,191,103539
166,12/2018,4,204,286902
167,12/2018,4,208,58613
168,12/2018,5,26,172089
169,12/2018,5,34,251355
170,12/2018,5,42,148051
171,12/2018,5,67,261441
172,12/2018,5,68,168229
173,12/2018,5,79,146098
174,12/2018,5,87,274228
175,12/2018,5,112,459091
176,12/2018,5,124,807747
177,12/2018,5,127,336
178,12/2018,5,132,823200
179,12/2018,5,133,862437
180,12/2018,5,139,1616034
181,12/2018,5,142,205227
182,12/2018,5,153,418251
183,12/2018,5,161,240765
184,12/2018,5,199,94012
185,11/2018,1,7,3474
186,11/2018,1,23,8
187,11/2018,1,35,55932
188,11/2018,1,36,33129
189,11/2018,1,64,44696
190,11/2018,1,70,35378
191,11/2018,1,73,152227
192,11/2018,1,83,24860
193,11/2018,1,84,19827
194,11/2018,1,85,119729
195,11/2018,1,91,3840
196,11/2018,1,98,718
197,11/2018,1,101,200662
198,11/2018,1,111,28432
199,11/2018,1,122,38764
200,11/2018,1,123,5595
201,11/2018,1,125,20636
202,11/2018,1,150,27469
203,11/2018,1,163,236708
204,11/2018,1,181,33012
205,11/2018,1,203,66791
206,11/2018,1,205,35381
207,11/2018,1,202,82188
208,11/2018,1,200,5411
209,11/2018,2,1,76475
210,11/2018,2,3,57235
211,11/2018,2,13,66628
212,11/2018,2,14,300390
213,11/2018,2,15,193854
214,11/2018,2,17,601
215,11/2018,2,31,195908
216,11/2018,2,32,84778
217,11/2018,2,37,16767
218,11/2018,2,40,54072
219,11/2018,2,44,33864
220,11/2018,2,45,87618
221,11/2018,2,51,52965
222,11/2018,2,54,96
223,11/2018,2,56,3354
224,11/2018,2,69,23080
225,11/2018,2,72,918
226,11/2018,2,94,251090
227,11/2018,2,95,22423
228,11/2018,2,102,60289
229,11/2018,2,115,592
230,11/2018,2,116,32321
231,11/2018,2,118,2075
232,11/2018,2,119,167212
233,11/2018,2,120,1076
234,11/2018,2,126,49960
235,11/2018,2,128,66075
236,11/2018,2,137,106138
237,11/2018,2,138,88507
238,11/2018,2,149,80234
239,11/2018,2,155,632640
240,11/2018,2,155,768854
241,11/2018,2,159,57912
242,11/2018,2,160,44872
243,11/2018,2,166,54697
244,11/2018,2,167,97096
245,11/2018,2,168,296071
246,11/2018,2,170,241702
247,11/2018,2,183,294574
248,11/2018,2,188,240793
249,11/2018,2,189,153932
250,11/2018,2,193,95562
251,11/2018,2,194,79727
252,11/2018,2,201,149074
253,11/2018,2,210,803
254,11/2018,2,212,399
255,11/2018,3,4,3
256,11/2018,3,9,5927
257,11/2018,3,6,208114
