id_viaje,mes,id_linea,id_estacion,cantidad
1,12/2018,1,7,2967
2,12/2018,1,23,8
3,12/2018,1,35,63065
4,12/2018,1,36,32909
5,12/2018,1,64,43321
6,12/2018,1,70,34142
7,12/2018,1,73,158635
8,12/2018,1,83,23087
9,12/2018,1,84,17970
10,12/2018,1,85,121992
11,12/2018,1,91,3372
12,12/2018,1,98,1355
13,12/2018,1,101,206912
14,12/2018,1,111,27322
15,12/2018,1,122,36742
16,12/2018,1,123,4707
17,12/2018,1,125,20940
18,12/2018,1,150,21520
19,12/2018,1,163,228269
20,12/2018,1,181,41840
21,12/2018,1,203,62193
22,12/2018,1,205,30499
23,12/2018,1,202,80351
24,12/2018,1,200,5275
25,12/2018,2,1,63556
26,12/2018,2,3,53970
27,12/2018,2,13,59702
28,12/2018,2,14,266933
29,12/2018,2,15,166508
30,12/2018,2,17,522
31,12/2018,2,30,13
32,12/2018,2,31,163323
33,12/2018,2,32,86410
34,12/2018,2,37,14388
35,12/2018,2,40,47020
36,12/2018,2,44,19048
37,12/2018,2,45,60808
38,12/2018,2,51,29070
39,12/2018,2,54,70
40,12/2018,2,56,2823
41,12/2018,2,69,19344
42,12/2018,2,72,995
43,12/2018,2,94,225634
44,12/2018,2,95,18843
45,12/2018,2,102,51743
46,12/2018,2,115,57
47,12/2018,2,116,25828
48,12/2018,2,118,2008
49,12/2018,2,119,150228
50,12/2018,2,120,907
51,12/2018,2,126,40112
52,12/2018,2,128,17348
53,12/2018,2,137,87157
54,12/2018,2,138,76069
55,12/2018,2,149,68937
56,12/2018,2,155,583005
57,12/2018,2,155,688576
58,12/2018,2,159,51179
59,12/2018,2,160,40822
60,12/2018,2,166,45493
61,12/2018,2,167,91611
62,12/2018,2,168,267353
63,12/2018,2,170,219175
64,12/2018,2,183,269686
65,12/2018,2,188,216173
66,12/2018,2,189,139045
67,12/2018,2,193,81834
68,12/2018,2,194,69276
69,12/2018,2,201,132748
70,12/2018,2,210,581
71,12/2018,2,212,308
72,12/2018,3,4,12
73,12/2018,3,9,4808
74,12/2018,3,6,192618
75,12/2018,3,5,291166
76,12/2018,3,10,134124
77,12/2018,3,12,501573
78,12/2018,3,18,205276
79,12/2018,3,19,111737
80,12/2018,3,20,103979
81,12/2018,3,21,137
82,12/2018,3,22,2
83,12/2018,3,24,447091
84,12/2018,3,28,144693
85,12/2018,3,29,25908
86,12/2018,3,39,121
87,12/2018,3,41,40333
88,12/2018,3,43,221629
89,12/2018,3,46,3958497
90,12/2018,3,47,219828
91,12/2018,3,50,46084
92,12/2018,3,52,176919
93,12/2018,3,55,119281
94,12/2018,3,65,436366
95,12/2018,3,66,159641
96,12/2018,3,71,309044
97,12/2018,3,74,143373
98,12/2018,3,75,558439
99,12/2018,3,76,18350
100,12/2018,3,77,131566
