id_viaje_cantidad,cantidad
1,2967
2,8
3,63065
4,32909
5,43321
6,34142
7,158635
8,23087
9,17970
10,121992
11,3372
12,1355
13,206912
14,27322
15,36742
16,4707
17,20940
18,21520
19,228269
20,41840
21,62193
22,30499
23,80351
24,5275
25,63556
26,53970
27,59702
28,266933
29,166508
30,522
31,13
32,163323
33,86410
34,14388
35,47020
36,19048
37,60808
38,29070
39,70
40,2823
41,19344
42,995
43,225634
44,18843
45,51743
46,57
47,25828
48,2008
49,150228
50,907
51,40112
52,17348
53,87157
54,76069
55,68937
56,583005
57,688576
58,51179
59,40822
60,45493
61,91611
62,267353
63,219175
64,269686
65,216173
66,139045
67,81834
68,69276
69,132748
70,581
71,308
72,12
73,4808
74,192618
75,291166
76,134124
77,501573
78,205276
79,111737
80,103979
81,137
82,2
83,447091
84,144693
85,25908
86,121
87,40333
88,221629
89,3958497
90,219828
91,46084
92,176919
93,119281
94,436366
95,159641
96,309044
97,143373
98,558439
99,18350
100,131566
