id_viaje_estacion,mes,id_linea,id_estacion
1,12/2018,1,7
2,12/2018,1,23
3,12/2018,1,35
4,12/2018,1,36
5,12/2018,1,64
6,12/2018,1,70
7,12/2018,1,73
8,12/2018,1,83
9,12/2018,1,84
10,12/2018,1,85
11,12/2018,1,91
12,12/2018,1,98
13,12/2018,1,101
14,12/2018,1,111
15,12/2018,1,122
16,12/2018,1,123
17,12/2018,1,125
18,12/2018,1,150
19,12/2018,1,163
20,12/2018,1,181
21,12/2018,1,203
22,12/2018,1,205
23,12/2018,1,202
24,12/2018,1,200
25,12/2018,2,1
26,12/2018,2,3
27,12/2018,2,13
28,12/2018,2,14
29,12/2018,2,15
30,12/2018,2,17
31,12/2018,2,30
32,12/2018,2,31
33,12/2018,2,32
34,12/2018,2,37
35,12/2018,2,40
36,12/2018,2,44
37,12/2018,2,45
38,12/2018,2,51
39,12/2018,2,54
40,12/2018,2,56
41,12/2018,2,69
42,12/2018,2,72
43,12/2018,2,94
44,12/2018,2,95
45,12/2018,2,102
46,12/2018,2,115
47,12/2018,2,116
48,12/2018,2,118
49,12/2018,2,119
50,12/2018,2,120
51,12/2018,2,126
52,12/2018,2,128
53,12/2018,2,137
54,12/2018,2,138
55,12/2018,2,149
56,12/2018,2,155
57,12/2018,2,155
58,12/2018,2,159
59,12/2018,2,160
60,12/2018,2,166
61,12/2018,2,167
62,12/2018,2,168
63,12/2018,2,170
64,12/2018,2,183
65,12/2018,2,188
66,12/2018,2,189
67,12/2018,2,193
68,12/2018,2,194
69,12/2018,2,201
70,12/2018,2,210
71,12/2018,2,212
72,12/2018,3,4
73,12/2018,3,9
74,12/2018,3,6
75,12/2018,3,5
76,12/2018,3,10
77,12/2018,3,12
78,12/2018,3,18
79,12/2018,3,19
80,12/2018,3,20
81,12/2018,3,21
82,12/2018,3,22
83,12/2018,3,24
84,12/2018,3,28
85,12/2018,3,29
86,12/2018,3,39
87,12/2018,3,41
88,12/2018,3,43
89,12/2018,3,46
90,12/2018,3,47
91,12/2018,3,50
92,12/2018,3,52
93,12/2018,3,55
94,12/2018,3,65
95,12/2018,3,66
96,12/2018,3,71
97,12/2018,3,74
98,12/2018,3,75
99,12/2018,3,76
100,12/2018,3,77
